name,theyworkforyou,party,borough,contact,parliamentary_office_email,parliamentary_address,parliamentary_office_phone_number,local_office_address,local_office_phone_number,Twitter,Facebook,Website
George Adam,https://www.theyworkforyou.com/mp/25072/george_adam,Scottish National Party,Paisley,https://www.parliament.scot/msps/current-and-previous-msps/george-adam,George.Adam.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1418895032,"Anchor One, Unit 14, 7 Thread Street, Paisley, PA1 1JR",1418895032,,,
Karen Adam,https://www.theyworkforyou.com/mp/25985/karen_adam,Scottish National Party,Banffshire and Buchan Coast,https://www.parliament.scot/msps/current-and-previous-msps/karen-adam,Karen.Adam.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486811,"20 Chapel Street, Peterhead, AB42 1TL",7826548813,@KarenAdamMSP,https://www.facebook.com/karenadammsp,
Clare Adamson,https://www.theyworkforyou.com/mp/25073/clare_adamson,Scottish National Party,Motherwell and Wishaw,https://www.parliament.scot/msps/current-and-previous-msps/clare-adamson,Clare.Adamson.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486376,"Suite G2, The Dalziel Building, 7 Scott Street, Motherwell, ML1 1PN",1698337540,@ClareAdamsonSNP,https://www.facebook.com/ClareAdamsonSNP,clareadamsonmsp.scot
Alasdair Allan,https://www.theyworkforyou.com/mp/13947/alasdair_allan,Scottish National Party,Na h-Eileanan an Iar,https://www.parliament.scot/msps/current-and-previous-msps/alasdair-allan,Alasdair.Allan.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1851700357,"20 Kenneth Street, Stornoway, HS1 2DR",1851700357,@alasdairallan,https://www.facebook.com/AlasdairAllanMSP,alasdairallan.scot
Tom Arthur,https://www.theyworkforyou.com/mp/25491/tom_arthur,Scottish National Party,Renfrewshire South,https://www.parliament.scot/msps/current-and-previous-msps/tom-arthur,Tom.Arthur.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485863,"49 High Street, Johnstone, PA5 8AJ",1505331990,,,
Jackie Baillie,https://www.theyworkforyou.com/mp/13949/jackie_baillie,Scottish Labour,Dumbarton,https://www.parliament.scot/msps/current-and-previous-msps/jackie-baillie,Jackie.Baillie.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485905,,,,,
Claire Baker,https://www.theyworkforyou.com/mp/13951/claire_baker,Scottish Labour,Mid Scotland and Fife,https://www.parliament.scot/msps/current-and-previous-msps/claire-baker,Claire.Baker.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486769,,,,,
Jeremy Balfour,https://www.theyworkforyou.com/mp/25492/jeremy_balfour,Scottish Conservative and Unionist Party,Lothian,https://www.parliament.scot/msps/current-and-previous-msps/jeremy-balfour,Jeremy.Balfour.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485961,,,@jeremyrbalfour,https://www.facebook.com/jeremybalfourlothian,
Colin Beattie,https://www.theyworkforyou.com/mp/25074/colin_beattie,Scottish National Party,Midlothian North and Musselburgh,https://www.parliament.scot/msps/current-and-previous-msps/colin-beattie,Colin.Beattie.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486373,"164 High Street, Dalkeith, EH22 1AY",1314540204,@uartlach,https://www.facebook.com/ColinBeattieMSP,
Neil Bibby,https://www.theyworkforyou.com/mp/25076/neil_bibby,Scottish Labour,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/neil-bibby,Neil.Bibby.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486385,"Suite 1002, Mile End Mill, 12 Seedhill Road, Paisley, PA1 1JS",1418890457,@NeilBibby,https://www.facebook.com/NeilBibbyMSP/,NeilBibby.com
